cord_uid_0519,cord_uid_0619,comment
qbiiekv7,60z2ef16,identifier
dse2wset,z0el6mf4,identifier
snk4xqjy,uemu8zd8,identifier
x025djd6,ape10tbe,identifier
t9djg1pg,98mfpsdm,identifier
15u9n7l8,q02y1myx,identifier
dzpxl0nq,odtue60a,identifier
7g8dmz57,386bqaui,identifier
jupjha9l,40xsypzt,identifier
ps41j4g3,ea78sjcs,identifier
7y8hv0zq,hrurl6f2,identifier
6b71mbg2,9co6a4s9,identifier
euk20rue,6ywpfn12,identifier
gsc7evqr,y6iuwq9r,identifier
d3j63dxa,ye570v9g,identifier
0yjm1c4d,1k5l3vv8,identifier
q8h5rwe7,gecls0wn,identifier
hc7nno58,co27h1kj,identifier
2kl5qqsa,5c8fbpk9,identifier
0xtkk5uf,8y95xuer,identifier
tevmxm59,xsrqjk3m,identifier
ykkbxmbc,2tihqnjp,identifier
qyrsmqa8,mw5obgr8,identifier
3rrry27f,m0cnkpb6,identifier
xjr93dm6,855dbj30,identifier
te88ckt0,bpl7je9u,identifier
xfgh5a67,rp4ppiqo,identifier
usq8r899,kydmptqh,identifier
z3tbt8tb,5car086c,identifier
j6a08ayd,4p1ah2h3,identifier
us2g0ofk,x9io1lj1,identifier
zel5qxjn,6af1cf8s,identifier
gutyumi4,msf4gxwj,identifier
nnts6hqv,hbdh93ro,identifier
bdthw16a,exu3svhh,identifier
8k1von4y,7b9p9smu,identifier
9q1j7ysl,p1wz8yrj,identifier
qokdcm3g,ftvieyyt,identifier
s6yl7hz7,lgn4rdxw,identifier
ic3sslvn,bu59aji5,identifier
ksrzq2hd,74kpy3wg,identifier
47y58r1j,azggyfx9,identifier
b2ckk9dv,4bwatc2r,identifier
uxuvt0cd,gva2x8bu,identifier
4nk0c8ar,v6lzp2ep,identifier
bpd6xms6,l3fflbx2,identifier
gkfk7gpz,8x0duuh6,identifier
x0bq9t7a,e60ejbut,identifier
wdcvgc0j,dvt1smp6,identifier
utd6cnqa,rh6luded,identifier
0x8zpo2u,qeu3zu37,identifier
upse5uh2,2af9w4tn,identifier
voe2osuw,kd1i0xbk,identifier
r1w9g6nv,or52hkph,identifier
gp0syat9,ns9a3su5,identifier
u7tunrdz,nz3ww2fp,identifier
ginh4x98,hz06lo27,identifier
5089i23l,lcvtzku0,identifier
g8qaa0uf,t4uotsce,identifier
de6rg5kk,t2sejry1,identifier
vxlfslnk,ppdsgi9o,identifier
bkf9q9q7,x1562mb7,identifier
wv12n8yr,fxp7k7et,identifier
o29ur8xn,hn3t3f89,identifier
llqru88o,i9o0vsy7,identifier
2t8zskv6,68vs9gqb,identifier
pcnddmxm,b71tv7i6,identifier
m2o8xbja,1k5h0tqi,identifier
u3p6w4r6,b63btqfa,identifier
a70wbulm,rba47hxv,identifier
7oct36lf,a1yfbo0h,identifier
r5i4krja,5cxb9ktc,identifier
wmeh2313,77qhitg9,identifier
gf8xn7my,sjcadz5j,identifier
vyneijrm,sie6gv8k,identifier
1hmbxp6m,a5o26nam,identifier
k3h6uw3e,4xoyhbwo,identifier
doi249zk,fqvrc9rh,identifier
53n1ebox,s4jg1utt,identifier
dbcv416o,wl5uc6rg,identifier
a05lj4dk,r7oyz0pn,identifier
3g9vv874,mth73urw,identifier
h3dt6rru,51j706c2,identifier
3iovu3cg,q5dhugfa,identifier
k9vs85np,epq3llp2,identifier
otqjnh2s,e5mf6qdo,identifier
ck8nrjee,lj4mq31p,identifier
5ttmy2nj,f6yridgz,identifier
8xu9neln,3i2p2ebo,identifier
obd2l4jg,zhpebr0z,identifier
5qvxq0ar,n8pwcikr,identifier
4gfbqaut,qdtntsc3,identifier
202r7bop,q0ztgoin,title
3eiatns3,9agmvxox,title
myrktdsa,au3kcait,title
oyynqs92,2tihqnjp,title
u8e3hu9y,mw5obgr8,title
ik034d86,mw5obgr8,title
rq5wojsc,mw5obgr8,title
xt6cq31n,n7z2ihjr,title
70g0b7iw,msc9qsop,title
7zxuh0f1,8gkh7se3,title
nxqs3srp,zcf7u84n,title
