cord_uid_0501,cord_uid_0519,comment
g0azmy82,todb4izx,identifier
4ew0c2gx,zcp7xbzr,identifier
ewr069hg,uiiwingt,identifier
08dkvn2d,pkiqg5c8,identifier
8khoqbl5,sc6qqxgc,identifier
d5gcu6rf,l5ja7l6h,identifier
zk0737mj,nz8uh8m6,identifier
h6js6juv,eqfpnl8c,identifier
u5d3wkww,qfsxuyow,identifier
jqros1lt,k41ix3rb,identifier
8x6j2gdc,33ecayoa,identifier
y4k6aprj,yww30793,identifier
6wduxw99,pfvao2w0,identifier
qsxnirja,jt6ucfdp,identifier
9ta801dk,rgzxihbp,identifier
2x4c8xfd,r66klre8,identifier
v0z8eq7h,vbwppmfk,identifier
jpruet5v,v0ftt9j6,identifier
5lo5kgbn,tvvtxccp,identifier
3ivy6t92,omtgurt8,identifier
9knjvncy,btzrfs6g,identifier
ef4hs346,ka98vvk3,identifier
h1ho8xsr,4a7dtnwf,identifier
okpzq07p,2ugwrhjj,identifier
ac3579no,cwx9kcou,identifier
tcx6ksuu,5k3u8fbl,identifier
er4wo86p,v4xno9zg,identifier
d21rxlsy,er8rijhe,identifier
aywyllts,5ttz48he,identifier
vnwkk33v,p5srvaep,identifier
retbqm13,aow2kn30,identifier
6qjkslw0,5k1lq94s,identifier
j2a4cc1k,nmcyjhu0,identifier
8vzwdjec,zf19i29d,identifier
7tpbc1tt,ty31khtx,identifier
uerpujmc,05h1wifn,identifier
j0z20rx5,3zg6lnow,identifier
thyshd2r,d66j0330,identifier
cw6q8ncx,3gl0nfji,identifier
cmcb827d,mw2cn7qo,identifier
m06suvtf,4gnt3kop,identifier
sfezm3ga,h343x2w9,identifier
y3x1vwzs,rw5ggcyx,identifier
b9whmiqf,rgzn0swd,identifier
4zig6oh3,ru6p1hot,identifier
p3jz85te,usgt940f,identifier
03d56sk3,ld6zftb2,identifier
g7kwqo5l,jpyrk7gk,identifier
29cmicya,26z7e4l5,identifier
68lv1fq4,togceecc,identifier
h66nmybl,3rfn9fk1,identifier
p7twitjm,nx4imroh,identifier
8mn6oe73,69msh649,identifier
5e1e96gw,5r8a0lo9,identifier
xtbemcxv,h6kyh76x,identifier
onxiu7t1,v33kum2m,identifier
34t6ndqm,38tzb62k,identifier
jubuq9tq,q41plzqq,identifier
xues17dt,suoiq1rk,identifier
6r2cgh7v,s634zdc5,identifier
vv9zf77t,g0fptp83,identifier
l19lo883,ekz44rxd,identifier
vmlu46it,m5myw1zu,identifier
d277h8o5,mhinfmal,identifier
m6doac3k,6bo3xbbb,identifier
h0fxqovd,9yfdal7t,identifier
dx3icn6n,t0icxq6i,identifier
k0o1t1z9,glboqd6t,identifier
pon3h0gb,hfdf0zb1,identifier
wmsqpwsa,knkic8hs,identifier
upylvmoa,asi9i97z,identifier
f9kl9t7u,fic051nn,identifier
1rfi0zq0,6gr1682f,identifier
5irb0fcy,7i4k3pt8,identifier
gcvbgi0c,qeo0o93l,identifier
fg1c7hdd,40m4hx06,identifier
dv0k4yag,wmgc4ifc,identifier
mkpghu6r,f3f53qbm,identifier
ulavi1a2,a5c9v7g4,identifier
uq4l9uxe,q4gtk3zy,identifier
9mlghr29,wo688q72,identifier
u8wrv913,101d80m9,identifier
n739z79x,1dmwh4iv,identifier
qg89d1ax,2r50ui8e,identifier
3ufxmxnl,uv03ygz8,identifier
p60qnxej,vzmih2vg,identifier
ao3hlixc,6x2ccdik,identifier
s9kos6py,g9rl99pp,identifier
cen2tts9,a1ka308o,identifier
2gkisupy,m77xaww7,identifier
kks6eafn,0fjxm0rb,identifier
b6abkv7p,1yq804n8,identifier
f9x0j7p9,mu1wh88o,identifier
419xx4ef,bpru7q5f,identifier
5p5b3vvy,erf6nrib,identifier
iyhfk6i5,q7zcqk2p,identifier
cpua1y37,qrqumu1a,identifier
w9lboejo,fw640zdb,identifier
yh54dekh,dbo69m2h,identifier
3am360d4,ij8gfutc,identifier
crrv37jz,igaiovu7,identifier
djm3ttxj,6trs4hvc,identifier
2njcmjxc,lsqdvjkx,identifier
uffkhnbn,zpoqxa73,identifier
cnbt6uo8,5zzpor69,identifier
5o5nc3ex,55qjk0k9,identifier
qgurte98,tz62llbe,identifier
07gaz5ym,r4hnr8d4,identifier
md7enahn,qbt4uat6,identifier
4ik45jcs,gdl74rdf,identifier
4k79f7bw,gq5r20pm,identifier
sdg4ac50,nohrqemd,identifier
s0l9rnmj,1n127fkf,identifier
q6jg9lny,7gt4ok6v,identifier
7ga40jct,hidlbfh4,identifier
48q75y7h,l5kdudrb,identifier
8tdr0fsh,rrq38akt,identifier
6fk3nsyp,upp3sj11,identifier
tkfwgoni,dq14f1mf,identifier
h86uga1g,qclxutw2,identifier
dgu82d7j,h3x29t3d,identifier
t7z8wk2i,0vjrewb6,identifier
hzgo6h45,bv65yaak,identifier
v1ar6vmn,d6824rru,identifier
d2xd9sn0,1te0qc45,identifier
q85mlgqr,ncqx631p,identifier
qnxzm93q,othc4scd,identifier
7yf2krrl,579efphd,identifier
2j9l3wnt,nxcaig72,identifier
cksx5rf2,h77uyv6l,identifier
ecz6ksp2,jtvqx0vk,identifier
1cg0pma2,uynoal1o,identifier
uvlusjds,dl5mpvdf,identifier
ymxrlqb0,xpysc8az,identifier
hoxtk901,8lnk91cr,identifier
rn23lenv,2z1sirwg,identifier
bjxw63rg,msz7cmkn,identifier
gti5ufjv,ct5hm1ox,identifier
z9bvu1p1,dwn5pq1d,identifier
xk7mz04p,90o6d9g0,identifier
2034jarz,xyvx2peb,identifier
6gbdlw8h,e5mu5dcp,identifier
nmw1mt5b,pyc7mos9,identifier
wzta9dix,6qgh6bve,identifier
ofq45m4x,snk4xqjy,identifier
161x3bk7,0q081eul,identifier
xm3q1j74,y0i9gsp5,identifier
h7ehzdyt,6kiiluon,identifier
6tgv6o9y,8csbp7ic,identifier
0ifti9xk,80t32jl7,identifier
98vqqkse,0a1vx8x2,identifier
gwslfunb,5iwgutxo,identifier
fbipkwdf,ttvynpu9,identifier
4awkalc8,i4t5gdf5,identifier
jkko6erq,7ntn9jm4,identifier
aqyqjz41,eegh2umz,identifier
wh8ap3qw,3xxyb5vp,identifier
91csx7xi,4ht61z7b,identifier
umxup80i,29j9njog,identifier
3glqszsm,uylw0zrg,identifier
rea09ing,qgfaiy0i,identifier
8z126sjd,zx2ruyjt,identifier
1hwbnl7k,5lzmb8xx,identifier
eh9epg26,at01wsmf,identifier
08twe91m,dnbg36fh,identifier
5qkayfc5,mfyqqd3f,identifier
dze6j4pc,p78knhk4,identifier
mir2qhez,c9yjxhei,identifier
8ajy3e55,c7wwvfco,identifier
w56mgx2k,syg80sbp,identifier
vszf6xqd,1zikb6z9,identifier
i8ea67qu,h6sauevh,identifier
6adxpwj1,evjb8vpx,identifier
2nakt1yt,zuc9afxx,identifier
zw4n4nsg,3g607hgx,identifier
wmmnuabp,qsvdvgdv,identifier
chsruzgd,yepjd0q5,identifier
